id,text,expected_route,notes
1,Where can I download my monthly invoice for December?,Simple (Tier 1a),Standard billing query. High confidence.
2,My credit card was charged twice for the annual subscription. Please refund.,Simple (Tier 1a),Standard billing query. High confidence.
3,How do I change my password? I cannot find the setting.,Simple (Tier 1a),General UI query. High confidence.
4,The battery drains completely in 2 hours and the device gets very hot while charging.,Complex (Tier 1b),Multi-aspect hardware issue (Battery + Overheating).
5,The new update is a disaster. The app crashes when I try to upload photos and the dark mode is broken.,Complex (Tier 1b),Multi-aspect software issue (App Stability + UI).
6,The screen has a weird purple tint and the touch response is lagging significantly.,Complex (Tier 1b),Hardware display issues. Needs granular extraction.
7,Oh great job guys. The app works perfectly if your goal was to make my phone freeze every 5 seconds. 10/10.,Review Queue (HITL),Sarcasm detection test. Positive words ("Great job", "10/10") but negative sentiment.
8,I tried to turn it on and it just made a clicking sound.,Complex (Tier 1b),Vague hardware issue, likely needs extraction.
9,I don't know if this is an error or not but the blue light is blinking.,Review Queue (HITL),Ambiguous/Low Confidence.
10,Is the premium plan worth it?,Simple (Tier 1a),General pre-sales query.
11,Fantastic update! Now I can't even log in. Thanks a lot.,Review Queue (HITL),Sarcasm detection test.
12,Your service is as useful as a screen door on a submarine.,Review Queue (HITL),Heavily idiomatic/Sarcastic. AI might have low confidence.
